Date,Cases
2020-03-02,210
2020-03-03,295
2020-03-04,449
2020-03-05,635
2020-03-06,822
2020-03-07,961
2020-03-08,1063
2020-03-09,1408
2020-03-10,2001
2020-03-11,2746
2020-03-12,3729
2020-03-13,5169
2020-03-14,6471
2020-03-15,7448
2020-03-16,9496
2020-03-17,12530
2020-03-18,16132
2020-03-19,20198
2020-03-20,24249
2020-03-21,27597
2020-03-22,29868
2020-03-23,33584
2020-03-24,38461
2020-03-25,44157
2020-03-26,50067
2020-03-27,56042
2020-03-28,60778
2020-03-29,63868
2020-03-30,67973
2020-03-31,74025
2020-04-01,80329
2020-04-02,86891
2020-04-03,93086
2020-04-04,97422
2020-04-05,99971
2020-04-06,103644
2020-04-07,108853
2020-04-08,114146
2020-04-09,119048
2020-04-10,122384
2020-04-11,125285
2020-04-12,127150
2020-04-13,128746
2020-04-14,131221
2020-04-15,134539
2020-04-16,137963
2020-04-17,141012
2020-04-18,143108
2020-04-19,144495
2020-04-20,146229
2020-04-21,148427
2020-04-22,150921
2020-04-23,153012
2020-04-24,154897
2020-04-25,156201
2020-04-26,156905
2020-04-27,158027
2020-04-28,159494
2020-04-29,160923
2020-04-30,162395
