Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	756	9	747	756	9	747	0	0	0	42.158	0.502	41.656	42.158	0.502	41.656	0.0	0.0	0.0			
-100	2020-03-11	956	11	945	200	2	198	0	0	0	53.31	0.613	52.697	11.153	0.112	11.041	0.0	0.0	0.0			
-99	2020-03-12	1237	14	1223	281	3	278	0	0	0	68.98	0.781	68.199	15.67	0.167	15.502	0.0	0.0	0.0			
-98	2020-03-13	1655	20	1635	418	6	412	0	0	0	92.29	1.115	91.174	23.309	0.335	22.975	0.0	0.0	0.0			
-97	2020-03-14	1977	23	1954	322	3	319	0	0	0	110.246	1.283	108.963	17.956	0.167	17.789	0.0	0.0	0.0			
-95	2020-03-16	2828	40	2788	851	17	834	0	0	0	157.701	2.231	155.47	47.455	0.948	46.507	0.0	0.0	0.0			
-94	2020-03-17	3738	53	3685	910	13	897	0	0	0	208.446	2.955	205.491	50.745	0.725	50.02	0.0	0.0	0.0			
-93	2020-03-18	4455	72	4383	717	19	698	3699	63	3636	248.429	4.015	244.414	39.983	1.06	38.923	206.271	3.513	202.758			
-92	2020-03-19	5593	92	5501	1138	20	1118	4637	81	4556	311.888	5.13	306.758	63.459	1.115	62.344	258.578	4.517	254.061			
-91	2020-03-20	6468	112	6356	875	20	855	5231	98	5133	360.682	6.246	354.436	48.794	1.115	47.678	291.702	5.465	286.237			
-90	2020-03-21	7159	128	7031	691	16	675	5504	108	5396	399.215	7.138	392.077	38.533	0.892	37.641	306.925	6.023	300.903			
-89	2020-03-22	7595	148	7447	436	20	416	5618	125	5493	423.528	8.253	415.275	24.313	1.115	23.198	313.282	6.971	306.312			
-88	2020-03-23	8476	173	8303	881	25	856	5648	133	5515	472.656	9.647	463.009	49.128	1.394	47.734	314.955	7.417	307.539			
-87	2020-03-24	9272	197	9075	796	24	772	5534	144	5390	517.044	10.986	506.059	44.388	1.338	43.05	308.598	8.03	300.568			
-86	2020-03-25	10310	233	10077	1038	36	1002	5855	161	5694	574.927	12.993	561.934	57.883	2.008	55.876	326.499	8.978	317.521			
-85	2020-03-26	11359	271	11088	1049	38	1011	5766	179	5587	633.424	15.112	618.312	58.496	2.119	56.377	321.536	9.982	311.554			
-84	2020-03-27	12460	316	12144	1101	45	1056	5992	204	5788	694.82	17.621	677.199	61.396	2.509	58.887	334.138	11.376	322.762			
-83	2020-03-28	13212	353	12859	752	37	715	6053	225	5828	736.755	19.685	717.07	41.935	2.063	39.871	337.54	12.547	324.993			
-82	2020-03-29	13845	394	13451	633	41	592	6250	246	6004	772.053	21.971	750.082	35.299	2.286	33.012	348.525	13.718	334.807			
-81	2020-03-30	14615	436	14179	770	42	728	6139	263	5876	814.992	24.313	790.678	42.938	2.342	40.596	342.336	14.666	327.67			
-80	2020-03-31	15673	495	15178	1058	59	999	6401	298	6103	873.99	27.603	846.387	58.998	3.29	55.708	356.946	16.618	340.328			
-79	2020-04-01	16833	578	16255	1160	83	1077	6523	345	6178	938.676	32.232	906.445	64.686	4.628	60.058	363.749	19.239	344.51			
-78	2020-04-02	18042	643	17399	1209	65	1144	6683	372	6311	1006.095	35.856	970.239	67.419	3.625	63.794	372.671	20.744	351.927			
-77	2020-04-03	19098	714	18384	1056	71	985	6638	398	6240	1064.982	39.816	1025.166	58.887	3.959	54.928	370.162	22.194	347.968			
-76	2020-04-04	19782	754	19028	684	40	644	6570	401	6169	1103.124	42.046	1061.078	38.143	2.231	35.912	366.37	22.361	344.008			
-75	2020-04-05	20289	801	19488	507	47	460	6444	407	6037	1131.397	44.667	1086.73	28.272	2.621	25.651	359.344	22.696	336.648			
-74	2020-04-06	21166	874	20292	877	73	804	6551	438	6113	1180.302	48.738	1131.564	48.905	4.071	44.834	365.31	24.425	340.886			
-73	2020-04-07	22081	929	21152	915	55	860	6408	434	5974	1231.326	51.805	1179.521	51.024	3.067	47.957	357.336	24.202	333.134			
-72	2020-04-08	23126	1004	22122	1045	75	970	6293	426	5867	1289.599	55.987	1233.612	58.273	4.182	54.091	350.923	23.755	327.168			
-71	2020-04-09	24133	1060	23073	1007	56	951	6091	417	5674	1345.754	59.11	1286.644	56.154	3.123	53.032	339.659	23.254	316.405			
-70	2020-04-10	24747	1097	23650	614	37	577	5649	383	5266	1379.993	61.173	1318.82	34.239	2.063	32.176	315.011	21.358	293.653			
-69	2020-04-11	25333	1132	24201	586	35	551	5551	378	5173	1412.671	63.125	1349.546	32.678	1.952	30.726	309.546	21.079	288.467			
-68	2020-04-12	25717	1163	24554	384	31	353	5428	362	5066	1434.084	64.854	1369.231	21.413	1.729	19.685	302.687	20.187	282.501			
-67	2020-04-13	26009	1185	24824	292	22	270	4843	311	4532	1450.367	66.08	1384.287	16.283	1.227	15.056	270.065	17.343	252.723			
-66	2020-04-14	26527	1234	25293	518	49	469	4446	305	4141	1479.253	68.813	1410.44	28.886	2.732	26.153	247.927	17.008	230.919			
-65	2020-04-15	27189	1273	25916	662	39	623	4063	269	3794	1516.169	70.988	1445.181	36.916	2.175	34.741	226.569	15.001	211.569			
-64	2020-04-16	27929	1307	26622	740	34	706	3796	247	3549	1557.434	72.884	1484.551	41.265	1.896	39.369	211.68	13.774	197.907			
-63	2020-04-17	28564	1341	27223	635	34	601	3817	244	3573	1592.844	74.78	1518.065	35.41	1.896	33.514	212.851	13.606	199.245			
-62	2020-04-18	29030	1365	27665	466	24	442	3697	233	3464	1618.83	76.118	1542.712	25.986	1.338	24.648	206.16	12.993	193.167			
-60	2020-04-20	29926	1427	28499	896	62	834	4209	264	3945	1668.795	79.575	1589.22	49.965	3.457	46.507	234.711	14.722	219.989			
-59	2020-04-21	30380	1452	28928	454	25	429	4371	267	4104	1694.112	80.969	1613.142	25.317	1.394	23.923	243.745	14.889	228.856			
-58	2020-04-22	30854	1470	29384	474	18	456	4327	236	4091	1720.544	81.973	1638.571	26.432	1.004	25.428	241.291	13.16	228.131			
-56	2020-04-24	31573	1490	30083	719	20	699	4384	217	4167	1760.638	83.088	1677.55	40.094	1.115	38.979	244.47	12.101	232.369			
-55	2020-04-25	31797	1500	30297	224	10	214	3868	193	3675	1773.13	83.646	1689.483	12.491	0.558	11.934	215.695	10.762	204.933			
-53	2020-04-27	32172	1514	30658	375	14	361	3608	173	3435	1794.041	84.427	1709.614	20.912	0.781	20.131	201.197	9.647	191.55			
-52	2020-04-28	32434	1527	30907	262	13	249	3404	162	3242	1808.651	85.152	1723.5	14.61	0.725	13.885	189.821	9.034	180.787			
-51	2020-04-29	32684	1533	31151	250	6	244	2758	106	2652	1822.592	85.486	1737.106	13.941	0.335	13.606	153.797	5.911	147.886			
-50	2020-04-30	33070	1544	31526	386	11	375	2690	92	2598	1844.117	86.1	1758.017	21.525	0.613	20.912	150.005	5.13	144.875			
-49	2020-05-01	33301	1556	31745	231	12	219	2447	86	2361	1856.999	86.769	1770.23	12.881	0.669	12.212	136.455	4.796	131.659			
-48	2020-05-02	33449	1559	31890	148	3	145	1876	69	1807	1865.252	86.936	1778.316	8.253	0.167	8.086	104.613	3.848	100.766			
-46	2020-05-04	33740	1570	32170	291	11	280	1943	70	1873	1881.479	87.55	1793.93	16.227	0.613	15.614	108.35	3.903	104.446			
-45	2020-05-05	33979	1579	32400	239	9	230	1807	65	1742	1894.807	88.051	1806.755	13.328	0.502	12.826	100.766	3.625	97.141			
-44	2020-05-06	34295	1584	32711	316	5	311	1861	57	1804	1912.428	88.33	1824.098	17.621	0.279	17.343	103.777	3.179	100.598			
-43	2020-05-07	34610	1593	33017	315	9	306	1926	60	1866	1929.994	88.832	1841.162	17.566	0.502	17.064	107.402	3.346	104.056			
-41	2020-05-09	35018	1603	33414	408	10	397	1948	59	1888	1952.746	89.39	1863.3	22.752	0.558	22.138	108.628	3.29	105.283			
-39	2020-05-11	35322	1607	33714	304	4	300	2021	51	1969	1969.698	89.613	1880.029	16.952	0.223	16.729	112.699	2.844	109.799			
-38	2020-05-12	35548	1611	33936	226	4	222	2099	52	2046	1982.3	89.836	1892.409	12.603	0.223	12.38	117.049	2.9	114.093			
-37	2020-05-13	35759	1616	34142	211	5	206	2019	46	1972	1994.067	90.115	1903.896	11.766	0.279	11.487	112.588	2.565	109.967			
-36	2020-05-14	35955	1620	34334	196	4	192	1976	41	1934	2004.996	90.338	1914.603	10.93	0.223	10.707	110.19	2.286	107.848			
-35	2020-05-15	36174	1625	34548	219	5	214	1879	41	1837	2017.209	90.617	1926.536	12.212	0.279	11.934	104.781	2.286	102.439			
-34	2020-05-16	36315	1628	34686	141	3	138	1705	35	1669	2025.072	90.784	1934.232	7.863	0.167	7.695	95.078	1.952	93.07			
-31	2020-05-19	36783	1633	35149	468	5	463	1765	30	1735	2051.169	91.063	1960.051	26.098	0.279	25.819	98.424	1.673	96.751			
-30	2020-05-20	36942	1638	35303	159	5	154	1620	31	1589	2060.036	91.342	1968.638	8.866	0.279	8.588	90.338	1.729	88.609			
-21	2020-05-29	37905	1653	36172	963	15	869	2357	42	2236	2113.736	92.178	2017.097	53.701	0.836	48.459	131.436	2.342	124.688			
-14	2020-06-05	38532	1658	36666	627	5	494	2773	42	2524	2148.7	92.457	2044.645	34.964	0.279	27.547	154.634	2.342	140.748			
-10	2020-06-09	38873	1661	36871	341	3	205	2918	41	2537	2167.716	92.624	2056.076	19.016	0.167	11.432	162.72	2.286	141.473			
-9	2020-06-10	39017	1662	36922	144	1	51	2843	37	2374	2175.746	92.68	2058.92	8.03	0.056	2.844	158.537	2.063	132.384			
-7	2020-06-12	39174	1662	36968	157	0	46	2859	34	2282	2184.501	92.68	2061.485	8.755	0.0	2.565	159.429	1.896	127.254			
-4	2020-06-15	39447	1662	37001	273	0	33	2664	29	1852	2199.725	92.68	2063.326	15.224	0.0	1.84	148.555	1.617	103.275			
-3	2020-06-16	39649	1663	37010	202	1	9	2707	25	1707	2210.989	92.736	2063.828	11.264	0.056	0.502	150.953	1.394	95.189			
0	2020-06-19	40824	1663	37029	1175	0	19	2919	10	857	2276.512	92.736	2064.887	65.523	0.0	1.06	162.775	0.558	47.79			
