State	Code	Population	Pop Density	Date_Latest	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million
Brandenburg	BB	2511900	84.0	2020-06-19	3389	163	3142	21	0	0	1349.178	64.891	1250.846
Berlin	BE	3644800	4055.0	2020-06-19	7792	211	6906	326	0	9	2137.84	57.891	1894.754
Baden-Württemberg	BW	11069500	308.0	2020-06-19	35272	1824	33100	55	0	1	3186.413	164.777	2990.198
Bayern	BY	13076700	184.0	2020-06-19	47822	2567	44676	116	0	7	3657.039	196.303	3416.458
Bremen	HB	683000	1624.0	2020-06-19	1636	49	1505	29	0	2	2395.315	71.742	2203.514
Hessen	HE	6265800	296.0	2020-06-19	10562	501	9730	150	1	7	1685.659	79.958	1552.874
Hamburg	HH	1841200	2424.0	2020-06-19	5167	259	4845	18	0	1	2806.322	140.669	2631.436
Mecklenburg-Vorpommern	MV	1609700	69.0	2020-06-19	792	20	754	5	0	0	492.017	12.425	468.41
Niedersachsen	NI	7982400	167.0	2020-06-19	13253	618	11820	219	0	1	1660.278	77.42	1480.758
Nordrhein-Westfalen	NW	17932700	525.0	2020-06-19	40824	1663	37029	1175	0	19	2276.512	92.736	2064.887
Rheinland-Pfalz	RP	4084800	205.0	2020-06-19	6907	234	6551	40	0	1	1690.903	57.286	1603.75
Schleswig-Holstein	SH	2896700	183.0	2020-06-19	3133	152	2961	11	0	0	1081.576	52.474	1022.198
Saarland	SL	990500	387.0	2020-06-19	2777	168	2577	6	0	0	2803.635	169.611	2601.716
Sachsen	SN	4077900	221.0	2020-06-19	5408	221	5098	49	0	0	1326.173	54.195	1250.153
Sachsen-Anhalt	ST	2208300	109.0	2020-06-19	1839	57	1671	51	0	0	832.767	25.812	756.691
Thüringen	TH	2143100	133.0	2020-06-19	3214	178	2929	17	0	0	1499.697	83.057	1366.712
